"Region"	"RegionUID"	"OperatingUnit"	"OperatingUnitUID"	"CountryName"	"SNU1"	"SNU1Uid"	"PSNU"	"PSNUuid"	"SNUPrioritization"	"typeMilitary"	"MechanismUID"	"PrimePartner"	"FundingAgency"	"MechanismID"	"ImplementingMechanismName"	"dataElementUID"	"indicator"	"numeratorDenom"	"indicatorType"	"disaggregate"	"standardizedDisaggregate"	"categoryOptionComboUID"	"categoryOptionComboName"	"AgeAsEntered"	"AgeFine"	"AgeSemiFine"	"AgeCoarse"	"Sex"	"resultStatus"	"otherDisaggregate"	"coarseDisaggregate"	"modality"	"isMCAD"	"FY2017_TARGETS"	"FY2017Q1"	"FY2017Q2"	"FY2017Q3"	"FY2017Q4"	"FY2017APR"	"FY2018_TARGETS"	"FY2018Q1"	"FY2018Q2"	"FY2019_TARGETS"
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"dkPSsG6LjSa"	"HRH_CURR_SiteLevel"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	30	30	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"Ogdhs4BW4ts"	"OVC_HIVSTAT"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	2500	NA	2750	2750	NA	NA	860	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"zsEd202kAqo"	"OVC_HIVSTAT_NEG"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	1320	NA	1300	1300	NA	NA	770	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"NuiOG06KQvh"	"OVC_HIVSTAT_POS"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	10	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"bfHk9MX9mqy"	"OVC_SERV"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	3750	NA	3790	3790	NA	NA	1300	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"hhwznVWhbrN"	"OVC_SERV"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	3360	NA	NA	NA	NA	NA	1680	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"iSNTanNAk4n"	"OVC_SERV_OVER_18"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	540	NA	NA	NA	NA	NA	350	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"YOSn40LtlCQ"	"OVC_SERV_OVER_18"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	730	NA	1220	1220	NA	NA	440	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"CBVAOp3zVMF"	"OVC_SERV_UNDER_18"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	2830	NA	NA	NA	NA	NA	1330	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Riverlands"	"H4JVoH5GKxt"	"The Riverlands"	"H4JVoH5GKxt"	"4 - Sustained"	NA	NA	"Fire"	"USAID"	80003	"Fire"	"lPansdJPnHx"	"OVC_SERV_UNDER_18"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	3040	NA	2750	2750	NA	NA	860	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"MnLMpQdIWQ3"	"HRH_CURR"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"oKKcW6SZiR1"	"HRH_CURR_OtherCadre"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"dkPSsG6LjSa"	"HRH_CURR_SiteLevel"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"Jw2iUqTtLZt"	"HRH_STAFF"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"rt42RHCjuoD"	"LAB_PTCQI_CD4_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"Y2TfvpJTxgL"	"LAB_PTCQI_CD4_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"MuZuLaJykIm"	"LAB_PTCQI_HIV_SerologyDiagnostic_POCT_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	20	20	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"e1zWNUE6cx7"	"LAB_PTCQI_Other_Testing_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"JDHfzGRytfH"	"LAB_PTCQI_Other_Testing_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"sqEj0fVWEpT"	"LAB_PTCQI_TB_AFB_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"v9hTOuIbV9B"	"LAB_PTCQI_TB_AFB_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"x4CbNAsGvDo"	"LAB_PTCQI_TB_Xpert_CQI"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Westerlands"	"fzkixGE6mOa"	"The Westerlands"	"fzkixGE6mOa"	"2 - Scale-Up: Aggressive"	NA	NA	"Stark"	"HHS/CDC"	80001	"Stark"	"eXhVGuNAE9y"	"LAB_PTCQI_TB_Xpert_PT"	"N"	"Not Applicable"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	10	10	NA	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"YpXUnecwj4Z"	"GEND_GBV"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	20	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"NUdcIMK4Peq"	"HTS_TST"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	8180	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"zaZ16DjMSVO"	"HTS_TST_NEG"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	8050	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"h1FiCN6ngKH"	"HTS_TST_POS"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	"Positive"	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	140	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"hhwznVWhbrN"	"OVC_SERV"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	1390	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"iSNTanNAk4n"	"OVC_SERV_OVER_18"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	340	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"CBVAOp3zVMF"	"OVC_SERV_UNDER_18"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	1060	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"cSKl3bt5lds"	"PMTCT_ART"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	20	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"DX5MVfk5zlV"	"PMTCT_EID"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	"<15"	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	20	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"gurarhelAHA"	"PMTCT_EID_Less_Equal_Two_Months"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	20	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"FAZ4YQdxV6q"	"PMTCT_EID_POS"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	"<15"	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	10	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"NIAkDwcJYW6"	"PMTCT_EID_Two_Twelve_Months"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	10	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"RuPl0gvYTCq"	"PMTCT_STAT"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	"Female"	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	1080	NA	NA	""
"The Known World"	"rsgfCo9eMmd"	"Westeros"	"ZTxJsumQ8ay"	"Westeros"	"The Iron Islands"	"Lh9gQtwkFU3"	"The Iron Islands"	"Lh9gQtwkFU3"	"2 - Scale-Up: Aggressive"	NA	NA	"Turncloak"	"USAID"	80004	"Turncloak"	"Cx5pCdi8SDY"	"PMTCT_STAT_KnownatEntry_POSITIVE"	"N"	"DSD"	"Total Numerator"	"Total Numerator"	"HllvX50cXC0"	"default"	NA	NA	NA	NA	NA	NA	NA	NA	NA	"N"	NA	NA	NA	NA	NA	NA	10	NA	NA	""
